,1m,3m,5m,15m,30m,1h,2h,4h,6h,8h,12h,1d
Date,2024/03/25 23:41:00,2024/03/25 23:39:00,2024/03/25 23:35:00,2024/03/25 23:15:00,2024/03/25 23:00:00,2024/03/25 22:00:00,2024/03/25 21:00:00,2024/03/25 19:00:00,2024/03/25 13:00:00,2024/03/25 15:00:00,2024/03/25 07:00:00,2024/03/24 07:00:00
Ema_75,3528.173964305204,3528.592460605486,3526.383007613252,3521.1589928063686,3520.215434206585,3516.979620821406,3516.2055968816194,3516.2055968816194,3436.19,3519.984274309189,3436.19,3454.9800000000014
Ema_76,3527.5307382775322,3527.952864345498,3525.757492763165,3520.5430826903375,3519.6068250153694,3516.2872262895694,3515.514641183061,3515.514641183061,3436.19,3519.3333112976547,3436.19,3454.98
Ema_77,3526.8980773171347,3527.3237946714085,3525.142106123942,3519.936745227023,3519.007708485751,3515.605660282651,3514.8346056736673,3514.8346056736673,3436.19,3518.6926364120322,3436.19,3454.98
Ema_78,3526.275749489718,3526.7050197047542,3524.536631539517,3519.339793026849,3518.4178969319846,3514.9347066954956,3514.1652683920224,3514.1652683920224,3436.19,3518.062040538086,3436.19,3454.9799999999987
Ema_79,3525.663528244034,3526.0963129921,3523.940857495,3518.7520416752336,3517.8372057897855,3514.274153181441,3513.506411460007,3513.506411460007,3436.19,3517.441318408536,3436.19,3454.98
Ema_80,3525.061192352095,3525.497453441091,3523.3545770994583,3518.173309825072,3517.2654536936234,3513.6237912229544,3512.857821134953,3512.857821134953,3436.19,3516.830268652193,3436.19,3454.98
Ema_81,3524.468525840271,3524.9082252477133,3522.7775880567197,3517.603419269067,3516.702462535356,3512.9834161826043,3512.2192878432024,3512.2192878432024,3436.19,3516.228693825573,3436.19,3454.98
Ema_82,3523.885317912761,3524.328417816291,3522.209692625885,3517.0421949943902,3516.1480575063965,3512.35282733665,3511.590606197316,3511.590606197316,3436.19,3515.6364004291177,3436.19,3454.98
Ema_83,3523.3113628686588,3523.7578256733445,3521.6506975730367,3516.489465221564,3515.6020671253327,3511.7318278934213,3510.971574999024,3510.971574999024,3436.189999999997,3515.0531989099536,3436.189999999997,3454.98
Ema_84,3522.7464600139238,3523.1962483766633,3521.1004141155495,3515.945061429765,3515.0643232529947,3511.1202249984813,3510.361997229858,3510.361997229858,3436.19,3514.478903653099,3436.19,3454.9799999999977
Ema_85,3522.1904135690716,3522.6434904203174,3520.558657860081,3515.408818369923,3514.5346610962683,3510.51782972804,3509.761680030906,3509.761680030906,3436.19,3513.913332962357,3436.19,3454.9799999999946
Ema_86,3521.64303257364,3522.099361136684,3520.025248735354,3514.8805740673356,3514.0129192023105,3509.924457072427,3509.1704346734036,3509.1704346734036,3436.19,3513.356309032638,3436.19,3454.98
Ema_87,3521.104130788045,3521.5636745960883,3519.500010920577,3514.360169814997,3513.498939444231,3509.3399259106554,3508.588076521201,3508.588076521201,3436.19,3512.807657914571,3436.19,3454.98
Ema_88,3520.573526593701,3521.036249504865,3518.9827727704155,3513.8474501589294,3512.9925669995287,3508.7640589775424,3508.0144249864647,3508.0144249864647,3436.19,3512.2672094727955,3436.19,3454.979999999996
Ema_89,3520.0510428917933,3520.516909102297,3518.4733667371306,3513.342262876545,3512.4936503221597,3508.1966828243053,3507.4493034795482,3507.4493034795482,3436.19,3511.7347973387136,3436.19,3454.98
Ema_90,3519.5365070013077,3520.0054810569222,3517.971629290485,3512.8444589488968,3512.002041109113,3507.6376277735008,3506.892539353811,3506.892539353811,3436.1899999999996,3511.2102588585217,3436.1899999999996,3454.98
Ema_91,3519.029750556824,3519.50179736279,3517.4774008361073,3512.353892527836,3511.5175942624123,3507.086727869395,3506.3439638464874,3506.3439638464874,3436.190000000001,3510.69343503748,3436.190000000001,3454.98
Ema_92,3518.530609406332,3519.0056942358515,3516.990525632616,3511.87042089864,3511.040167847053,3506.5438208242163,3505.8034120159577,3505.8034120159577,3436.19,3510.1841704808285,3436.19,3454.980000000001
Ema_93,3518.038923509518,3518.517012010954,3516.5108517080816,3511.39390443894,3510.569623045714,3506.0087479612216,3505.270722676377,3505.270722676377,3436.19,3509.682313332203,3436.19,3454.98
Ema_94,3517.554536836746,3518.0355950396483,3516.0382307760874,3510.9242065744133,3510.105824110612,3505.481354154955,3504.7457383299834,3504.7457383299834,3436.19,3509.1877152098536,3436.19,3454.98
Ema_95,3517.077297268935,3517.5612915889824,3515.57251815168,3510.4611937317927,3509.6486383130323,3504.96148776929,3504.228305097644,3504.228305097644,3436.19,3508.700231141198,3436.19,3454.9799999999996
Ema_96,3516.60705649873,3517.0939537417053,3515.1135726677094,3510.004735289808,3509.197935891113,3504.4490005937837,3503.7182726481306,3503.7182726481306,3436.189999999997,3508.219719496234,3436.189999999997,3454.9799999999946
Ema_97,3516.1436699328688,3516.6334372977167,3514.661256591437,3509.5547035281675,3508.7535899960158,3503.9437477786432,3503.215494126467,3503.215494126467,3436.19,3507.7460419199742,3436.19,3454.98
Ema_98,3515.6869965961187,3516.1796016772173,3514.215435541936,3509.110973575273,3508.3154766370358,3503.445587768681,3502.719826081574,3502.719826081574,3436.19,3507.2790632643264,3436.19,3454.98
Ema_99,3515.2368990367954,3515.7323098254865,3513.775978408317,3508.673423354809,3507.8834746258817,3502.9543822366822,3502.231128393734,3502.231128393734,3436.19,3506.8186515197394,3436.19,3454.98
Ema_100,3514.7932432340067,3515.291428119432,3513.3427572689234,3508.2419335314744,3507.457465520326,3502.469996016289,3501.7492642019006,3501.7492642019006,3436.19,3506.364677746719,3436.19,3454.98
